2017-06-22 17:16:18.464 DEBUG 14408 --- [main] c.b.mybatisplus.MybatisConfiguration     : addMappedStatement: com.loeo.mapper.PersistentLoginsMapper.delete
2017-06-22 17:16:18.467 DEBUG 14408 --- [main] c.b.mybatisplus.MybatisConfiguration     : addMappedStatement: com.loeo.mapper.PersistentLoginsMapper.deleteByMap
2017-06-22 17:16:18.470 DEBUG 14408 --- [main] c.b.mybatisplus.MybatisConfiguration     : addMappedStatement: com.loeo.mapper.PersistentLoginsMapper.update
2017-06-22 17:16:18.472 DEBUG 14408 --- [main] c.b.mybatisplus.MybatisConfiguration     : addMappedStatement: com.loeo.mapper.PersistentLoginsMapper.selectByMap
2017-06-22 17:16:18.474 DEBUG 14408 --- [main] c.b.mybatisplus.MybatisConfiguration     : addMappedStatement: com.loeo.mapper.PersistentLoginsMapper.selectOne
2017-06-22 17:16:18.475 DEBUG 14408 --- [main] c.b.mybatisplus.MybatisConfiguration     : addMappedStatement: com.loeo.mapper.PersistentLoginsMapper.selectCount
2017-06-22 17:16:18.478 DEBUG 14408 --- [main] c.b.mybatisplus.MybatisConfiguration     : addMappedStatement: com.loeo.mapper.PersistentLoginsMapper.selectList
2017-06-22 17:16:18.481 DEBUG 14408 --- [main] c.b.mybatisplus.MybatisConfiguration     : addMappedStatement: com.loeo.mapper.PersistentLoginsMapper.selectPage
2017-06-22 17:16:18.484 DEBUG 14408 --- [main] c.b.mybatisplus.MybatisConfiguration     : addMappedStatement: com.loeo.mapper.PersistentLoginsMapper.selectMaps
2017-06-22 17:16:18.487 DEBUG 14408 --- [main] c.b.mybatisplus.MybatisConfiguration     : addMappedStatement: com.loeo.mapper.PersistentLoginsMapper.selectMapsPage
2017-06-22 17:16:18.489 DEBUG 14408 --- [main] c.b.mybatisplus.MybatisConfiguration     : addMappedStatement: com.loeo.mapper.PersistentLoginsMapper.selectObjs
2017-06-22 17:16:18.596 DEBUG 14408 --- [main] c.b.mybatisplus.MybatisConfiguration     : addMappedStatement: com.loeo.mapper.ProductMapper.deleteById
2017-06-22 17:16:18.599 DEBUG 14408 --- [main] c.b.mybatisplus.MybatisConfiguration     : addMappedStatement: com.loeo.mapper.ProductMapper.deleteBatchIds
2017-06-22 17:16:18.601 DEBUG 14408 --- [main] c.b.mybatisplus.MybatisConfiguration     : addMappedStatement: com.loeo.mapper.ProductMapper.updateById
